,NCLO,Arrival Delay,Cap,Abandonment Penalty,Utility,protocol_type,protocol_name,Algorithm,map_size,max_nclo,converge_threshold
0,0,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
1,200,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
2,400,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
3,600,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
4,800,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
5,1000,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
6,1200,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
7,1400,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
8,1600,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
9,1800,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
10,2000,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
11,2200,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
12,2400,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
13,2600,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
14,2800,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
15,3000,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
16,3200,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
17,3400,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
18,3600,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
19,3800,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
20,4000,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
21,4200,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
22,4400,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
23,4600,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
24,4800,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
25,5000,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
26,5200,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
27,5400,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
28,5600,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
29,5800,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
30,6000,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
31,6200,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
32,6400,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
33,6600,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
34,6800,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
35,7000,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
36,7200,0.0,0.0,0.0,0.0,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
