,protocol_type,protocol_name,Algorithm,Simulation_Number,Task Id,Mission Id,Task Importance,Max Players,Initial Workload,Arrival Delay,Abandonment Counter,Total Abandonment Counter,Total Time In System,Total Time Since First Arrival,Time Taken (In System) Relative To Optimal,Time Taken (First Arrival) Relative To Optimal,Cap,Is Done,Abandonment Penalty,Utility,map_size,max_nclo,converge_threshold
0,No Loss,e^-(0d),FMC_TA,0,10,28,2090.5784593110366,2,16100.41864981033,4548.923568851575,0,0,12916.133655054009,8367.210086202434,0.6232677316524333,0.9621139235143618,2049.417109561844,True,0,1269.062555989926,9000X9000,5000,1e-05
1,No Loss,e^-(0d),FMC_TA,0,10,27,2090.5784593110366,2,16175.233181399213,4495.540933127582,0,0,20670.774114526794,16175.233181399211,0.391258525002016,0.5000000000000001,1045.2892296555183,True,0,650.9262769990656,9000X9000,5000,1e-05
2,No Loss,e^-(0d),FMC_TA,0,10,26,2090.5784593110366,2,16215.229446558296,23428.97272827587,0,0,31536.587451555017,8107.614723279148,0.2570859873705002,1.0,2090.5784593110366,True,0,177.09874058982427,9000X9000,5000,1e-05
3,No Loss,e^-(0d),FMC_TA,0,5,13,8298.317482601287,5,59506.06607600255,4647.75330773528,0,0,34490.223152451494,29842.469844716215,0.3450604875067211,0.39880121441448624,3314.338089786163,True,0,2031.0811699138496,9000X9000,5000,1e-05
4,No Loss,e^-(0d),FMC_TA,0,5,12,8298.317482601287,2,61081.53816262691,4720.435484771415,0,0,35716.91715174211,30996.4816669707,0.8550785318778222,0.9852979254047777,8236.406014253313,True,0,5008.9011948190955,9000X9000,5000,1e-05
5,No Loss,e^-(0d),FMC_TA,0,5,11,8298.317482601287,6,78785.81480838748,3666.065622733352,0,0,43917.481360418715,40251.41573768536,0.29899185308394594,0.32622378353855974,2735.9642987568755,True,0,1859.3470664040462,9000X9000,5000,1e-05
6,No Loss,e^-(0d),FMC_TA,0,11,31,7031.856279613829,3,55398.757392176354,3920.8834933814856,0,0,36879.69395853376,32958.81046515227,0.5007159898024531,0.5602827348269551,4242.845247022047,True,0,2807.0322496413937,9000X9000,5000,1e-05
7,No Loss,e^-(0d),FMC_TA,0,11,30,7031.856279613829,3,56124.2989584411,4031.536370312743,0,0,41110.85119178854,37079.3148214758,0.45506476053092393,0.5045427549804195,3945.4607806101094,True,0,2580.0299251878428,9000X9000,5000,1e-05
8,No Loss,e^-(0d),FMC_TA,0,11,29,7031.856279613829,4,55819.475111720574,33060.20082801069,0,0,60544.819855430746,27484.619027420056,0.23048823683432632,0.5077337533406614,3623.0367210972063,True,0,111.25535107087512,9000X9000,5000,1e-05
9,No Loss,e^-(0d),FMC_TA,0,2,3,9444.21851525048,5,59447.42441137886,18275.67274334845,0,0,38091.48088047473,19815.80813712628,0.3121297625467271,0.6000000000000002,5666.531109150287,True,0,826.1679713038833,9000X9000,5000,1e-05
10,No Loss,e^-(0d),FMC_TA,0,2,2,9444.21851525048,5,83012.52760607455,4412.402175343627,0,0,57228.851451835944,52816.44927649232,0.29010726408143367,0.31434346209646463,4637.135993596625,True,0,2913.059677625177,9000X9000,5000,1e-05
11,No Loss,e^-(0d),FMC_TA,0,2,4,9444.21851525048,8,66342.52496808334,36900.91683038293,0,0,61759.56550906511,24858.648678682184,0.13427580898044356,0.33359881014457615,3544.4003222192446,True,0,72.6188578126208,9000X9000,5000,1e-05
12,No Loss,e^-(0d),FMC_TA,0,3,6,4033.1272607892747,3,38478.31046972291,3813.2873922198823,0,0,16816.990574264244,13003.703182044363,0.7626872021642188,0.9863423757332481,4001.853072830134,True,0,2677.7786691985643,9000X9000,5000,1e-05
13,No Loss,e^-(0d),FMC_TA,0,3,7,4033.1272607892747,3,25849.075770799027,39063.7316492219,0,0,51988.26953462142,12924.537885399513,0.1657365914925925,0.6666666666666666,2688.7515071928497,True,0,43.86239429793709,9000X9000,5000,1e-05
14,No Loss,e^-(0d),FMC_TA,0,3,5,4033.1272607892747,3,29776.517144951384,58687.53362092015,0,0,71307.25528603644,12619.721665116289,0.13919348985133959,0.7865074982136963,3668.2049382074683,True,0,7.56936286976515,9000X9000,5000,1e-05
15,No Loss,e^-(0d),FMC_TA,0,8,20,9676.027754927809,4,60180.58084708239,5120.380920765229,0,0,21057.60016315816,15937.21924239293,0.7144757757388327,0.9440257414386684,9405.900151754038,True,0,5484.090114991397,9000X9000,5000,1e-05
16,No Loss,e^-(0d),FMC_TA,0,8,21,9676.027754927809,3,90493.65778338679,4271.76013982879,0,0,35730.2582076243,31458.49806779551,0.8442299078607163,0.9588681738541779,9530.004717806562,True,0,6076.144470049269,9000X9000,5000,1e-05
17,No Loss,e^-(0d),FMC_TA,0,8,22,9676.027754927809,3,75836.38716196534,15287.506220171716,0,0,72944.83331816655,57657.327097994836,0.3465467610350897,0.43843162687182974,5544.823988563939,True,0,1107.5665810392893,9000X9000,5000,1e-05
18,No Loss,e^-(0d),FMC_TA,0,9,24,10675.402502901434,4,57670.96997812562,2985.558440172039,0,0,22053.54069400234,19067.982253830298,0.6537608946599872,0.7561231336700677,8386.39920066336,True,0,6122.994498877995,9000X9000,5000,1e-05
19,No Loss,e^-(0d),FMC_TA,0,9,23,10675.402502901434,5,96248.33309765402,16962.946936164168,0,0,79275.30861521147,62312.3616790473,0.24282045640421696,0.3089221159467553,5478.705468366921,True,0,917.2676335023219,9000X9000,5000,1e-05
20,No Loss,e^-(0d),FMC_TA,0,9,25,10675.402502901434,10,80489.36654695465,4808.956760467829,0,0,85298.32330742248,80489.36654695465,0.09436219075123442,0.09999999999999999,1067.5402502901436,True,0,643.1887876153229,9000X9000,5000,1e-05
21,No Loss,e^-(0d),FMC_TA,0,4,9,7183.689966753316,6,71218.58065217943,7291.964734136943,0,0,43371.873163305165,36079.90842916822,0.2736742173283015,0.32898540929871056,3533.3126116023222,True,0,1638.7777395997691,9000X9000,5000,1e-05
22,No Loss,e^-(0d),FMC_TA,0,4,8,7183.689966753316,7,44916.2492890338,22976.03988889146,0,0,44949.018489728944,21972.978600837483,0.14275299565788668,0.29202263188141364,2141.159346596034,True,0,190.24929700045072,9000X9000,5000,1e-05
23,No Loss,e^-(0d),FMC_TA,0,4,10,7183.689966753316,3,68322.85226636307,63974.03902797803,0,0,94007.8124607136,30033.773432735565,0.24225948346904885,0.7582891353893171,6420.4033205729165,True,0,7.590507675043829,9000X9000,5000,1e-05
24,No Loss,e^-(0d),FMC_TA,0,6,15,10130.110532378982,3,94478.97872735283,24066.546984566696,0,0,65490.277041946116,41423.73005737942,0.48088043495290983,0.760264535943385,9065.329071624592,True,0,718.0567633187451,9000X9000,5000,1e-05
25,No Loss,e^-(0d),FMC_TA,0,6,14,10130.110532378982,5,99609.69939599068,7146.552803333119,0,0,71147.17943511081,64000.62663177769,0.28001025532386387,0.31127726285896185,3914.191737855959,True,0,1843.460232901223,9000X9000,5000,1e-05
26,No Loss,e^-(0d),FMC_TA,0,6,16,10130.110532378982,6,91425.65700830883,64870.88600025803,0,0,102134.87519589487,37263.98919563684,0.1491910522449755,0.4089097767119615,5479.246173908299,True,0,5.893752023956642,9000X9000,5000,1e-05
27,No Loss,e^-(0d),FMC_TA,0,7,17,1140.4170016401895,1,9805.9023108769,4429.587271580213,0,0,14235.489582457114,9805.9023108769,0.6888349188187425,1.0,1140.4170016401897,True,0,715.1166429136329,9000X9000,5000,1e-05
28,No Loss,e^-(0d),FMC_TA,0,7,18,1140.4170016401895,1,10405.42118648774,6119.917547615269,0,0,16525.33873410301,10405.421186487742,0.6296646231531872,0.9999999999999998,1140.4170016401897,True,0,598.4551571628809,9000X9000,5000,1e-05
